name,latitude,longitude,region,subregion,cs_ID,cs_textrec_ID,age.of.learner,domain,mode,process,sex
Mbuti,1.5,28.5,Africa,Central Africa,111,229,early childhood,subsistence,uknown,observation and imitation,general
Mbuti,1.5,28.5,Africa,Central Africa,112,230,childhood,subsistence,oblique,teaching.guidance,general
Mbuti,1.5,28.5,Africa,Central Africa,113,230,childhood,cultural values,horizontal,collaborative learning,general
Mbuti,1.5,28.5,Africa,Central Africa,114,231,early childhood,cultural values,oblique,teaching.storytelling,general
Mbuti,1.5,28.5,Africa,Central Africa,115,231,early childhood,subsistence,oblique,collaborative learning,general
Mbuti,1.5,28.5,Africa,Central Africa,117,232,childhood,subsistence,horizontal,collaborative learning.role playing,male
Mbuti,1.5,28.5,Africa,Central Africa,118,233,infancy,miscellaneous skills,oblique,teaching,general
Mbuti,1.5,28.5,Africa,Central Africa,119,234,childhood,subsistence,oblique,teaching,general
Mbuti,1.5,28.5,Africa,Central Africa,120,235,childhood,miscellaneous skills,vertical,observation and imitation,female
Mbuti,1.5,28.5,Africa,Central Africa,121,235,childhood,subsistence,horizontal,collaborative learning.role playing,female
Mbuti,1.5,28.5,Africa,Central Africa,122,235,childhood,cultural values,horizontal,collaborative learning,female
Mbuti,1.5,28.5,Africa,Central Africa,123,236,childhood,cultural values,horizontal,collaborative learning,male
Mbuti,1.5,28.5,Africa,Central Africa,124,236,childhood,miscellaneous skills,horizontal,collaborartive learning.play,male
Mbuti,1.5,28.5,Africa,Central Africa,125,236,childhood,subsistence,horizontal,collaborartive learning.play,male
Mbuti,1.5,28.5,Africa,Central Africa,126,237,childhood,miscellaneous skills,horizontal,teaching.guidance,general
Mbuti,1.5,28.5,Africa,Central Africa,127,238,childhood,miscellaneous skills,oblique.concerted,teaching.guidance,female
Mbuti,1.5,28.5,Africa,Central Africa,128,238,childhood,miscellaneous skills,oblique,teaching,female
Mbuti,1.5,28.5,Africa,Central Africa,129,239,adolecence,religious,oblique.concerted,teaching.guidance,female
Mbuti,1.5,28.5,Africa,Central Africa,130,240,childhood,miscellaneous skills,horizontal,collaborartive learning.play,general
San,-20,21,Africa,Southern Africa,131,241,early childhood,language,oblique,teaching,general
San,-20,21,Africa,Southern Africa,132,242,non-specific,cultural values,uknown,teaching.storytelling,general
San,-20,21,Africa,Southern Africa,133,243,early childhood,cultural values,vertical,teaching,female
San,-20,21,Africa,Southern Africa,134,243,childhood,subsistence,vertical,stimuls enhancement,male
San,-20,21,Africa,Southern Africa,136,244,childhood,subsistence,vertical,teaching,female
San,-20,21,Africa,Southern Africa,137,244,childhood,ecology,vertical,teaching,female
San,-20,21,Africa,Southern Africa,138,245,early childhood,religious,horizontal,collaborative learning.role playing,male
San,-20,21,Africa,Southern Africa,139,246,infancy,subsistence,oblique,observation and imitation,general
San,-20,21,Africa,Southern Africa,140,246,infancy,miscellaneous skills,oblique,observation and imitation,general
San,-20,21,Africa,Southern Africa,141,247,early childhood,cultural values,oblique,teaching,general
San,-20,21,Africa,Southern Africa,142,247,early childhood,subsistence,vertical,stimuls enhancement,general
San,-20,21,Africa,Southern Africa,143,248,non-specific,cultural values,oblique.concerted,teaching,male
San,-20,21,Africa,Southern Africa,144,249,early childhood,subsistence,horizontal,collaborartive learning.play,male
San,-20,21,Africa,Southern Africa,145,249,childhood,subsistence,horizontal,trial and error,general
San,-20,21,Africa,Southern Africa,146,249,middle childhood,subsistence,horizontal,local enhancement,male
San,-20,21,Africa,Southern Africa,147,249,middle childhood,subsistence,vertical,teaching.guidance,male
San,-20,21,Africa,Southern Africa,149,250,childhood,subsistence,oblique,observation and imitation,female
San,-20,21,Africa,Southern Africa,150,251,childhood,subsistence,oblique,observation and imitation,general
San,-20,21,Africa,Southern Africa,151,251,childhood,subsistence,oblique,teaching.guidance,general
San,-20,21,Africa,Southern Africa,152,252,early childhood,subsistence,vertical,observation and imitation,general
San,-20,21,Africa,Southern Africa,153,253,childhood,cultural values,vertical,teaching,general
San,-20,21,Africa,Southern Africa,154,254,childhood,subsistence,horizontal,collaborative learning,general
San,-20,21,Africa,Southern Africa,155,254,childhood,religious,horizontal,collaborative learning,general
San,-20,21,Africa,Southern Africa,156,254,childhood,cultural values,horizontal,collaborative learning.role playing,general
San,-20,21,Africa,Southern Africa,157,255,childhood,religious,vertical,stimuls enhancement,female
San,-20,21,Africa,Southern Africa,158,256,non-specific,subsistence,vertical,teaching,female
San,-20,21,Africa,Southern Africa,159,257,adolecence,cultural values,oblique,teaching,female
San,-20,21,Africa,Southern Africa,160,257,adolecence,subsistence,oblique,teaching,male
San,-20,21,Africa,Southern Africa,161,258,infancy,miscellaneous skills,oblique,teaching.guidance,general
San,-20,21,Africa,Southern Africa,162,259,childhood,subsistence,vertical,teaching,general
San,-20,21,Africa,Southern Africa,163,259,childhood,subsistence,oblique,teaching,general
San,-20,21,Africa,Southern Africa,164,260,infancy,miscellaneous skills,oblique,teaching.guidance,general
San,-20,21,Africa,Southern Africa,165,260,infancy,language,oblique,teaching,general
San,-20,21,Africa,Southern Africa,166,261,childhood,cultural values,oblique,teaching.storytelling,general
San,-20,21,Africa,Southern Africa,167,261,childhood,subsistence,oblique,teaching.storytelling,general
San,-20,21,Africa,Southern Africa,168,262,early childhood,subsistence,vertical,observation and imitation,female
San,-20,21,Africa,Southern Africa,169,263,adolecence,religious,oblique.concerted,teaching.storytelling,male
San,-20,21,Africa,Southern Africa,170,264,infancy,cultural values,oblique,stimuls enhancement,general
Ainu,43,143,Asia,East Asia,171,265,childhood,manufacturing,vertical,teaching,female
Andamans,12,92.74,Asia,South Asia,172,266,childhood,subsistence,vertical,stimuls enhancement,male
Andamans,12,92.74,Asia,South Asia,173,266,childhood,subsistence,vertical,teaching,female
Andamans,12,92.74,Asia,South Asia,174,266,childhood,religious,vertical,teaching,female
Andamans,12,92.74,Asia,South Asia,175,266,childhood,manufacturing,vertical,teaching,female
Andamans,12,92.74,Asia,South Asia,176,267,childhood,ecology,oblique,local enhancement,both
Andamans,12,92.74,Asia,South Asia,177,267,childhood,subsistence,uknown,trial and error,general
Andamans,12,92.74,Asia,South Asia,178,267,adolecence,religious,vertical,teaching,male
Andamans,12,92.74,Asia,South Asia,179,267,adolecence,religious,oblique,teaching,male
Andamans,12,92.74,Asia,South Asia,180,268,early childhood,subsistence,vertical,stimuls enhancement,male
Andamans,12,92.74,Asia,South Asia,182,268,childhood,subsistence,vertical,local enhancement,female
