document_ID,cs_textrec_ID,page,text,OCMs,Combined
fo04-001,229,216a,"Education is through imitation, and both boys and girls have miniature hunting-and-gathering utensils and may, in addition, make miniature replicas of any adult possession (Fig. 45).",Transmission of skills (868),no
fo04-005,230,44,"Other pastimes taught the children the rules of hunting and gathering. Frequently elders, who stayed in camp when the hunt went off, called the children into the main camp and enacted a mock hunt with them there. Stretching a discarded piece of net across the camp, they pretended to be animals, showing the children how to drive them into the nets. And, of course, the children played house, learning the patterns of cooperation that would be necessary for them later in life. They also learned the prime lesson of egality, other than for purposes of division of labor making no distinction between male and female, this nuclear family or that. All in the bopi were apua'i to each other, and so they would remain throughout their lives. At every age level--childhood, youth, adulthood, or old age--everyone of that level is apua'i to all the others. Only adults sometimes (but so rarely that I think it was only done as a kind of joke, or possibly insult) made the distinction that the Bira do, using apua'i for male and amua'i for female. Male or female, for the Mbuti, if you are the same age you are apua'i , and that means that you share everything equally, regardless of kinship or gender.","Age stratification (561)
Childhood activities (857)
Transmission of cultural norms (867)
Transmission of skills (868)",no
fo04-005,231,55,"It was at moments like this that the elders came into prominence. In the Mbuti scheme of things age was clearly the dominant principle of social organization, with territory hard on its heels, then gender, and kinship lagging behind. The responsibility allocated to childhood was that of ritual purification, most specifically in the daily act of lighting the hunting fire. The youths had full control of the political arena, and the adults were fully occupied with all the major economic responsibilities. The role of the elders was the one, as vital as all the others, of socialization. During the daytime, when youths and adults were off on the hunt, the elders mostly stayed behind in the camp, looking after the young children. By playing with them, acting out great sagas of the hunting and gathering days of yore, or just by lying back under the trees and telling stories, old women and men, the tata of the camp, filled the youngsters with their own love of the forest, their trust in it, and their respect for the forest values that made life so good.","Age stratification (561)
Status of children (858)
Transmission of cultural norms (867)
Status of adolescents (882)
Activities of the aged (887)
Status and treatment of the aged (888)",no
fo04-002,232,108,"Nor can the nonlineal nature of the band or the flux of band composition be attributed solely to the ecology. The situation is comparable between the archers and the net-hunters, and yet each of these groups practices a different hunting technique, and the process of fission and fusion takes an opposite direction. Either the archers or the net-hunters could, in fact, operate perfectly efficiently without all the internal movement that we have seen, and they may very-well once have operated as patrilineal bands. While in no way supporting those who suggest that band composition is due to local ecology, it is undeniable that there is an interest in lineage, evident in the attempt to balance lineages and prevent lineage dominance. Further, the camp plans indicate a general tendency toward lineage solidarity, particularly in times of crisis. For instance, with reference to Plans 9 and 10, the normally unsystematic camp plan that pertained (9) was abruptly altered and became divided along strict lineage lines when one of the sub-band members, Cephu himself, committed the unforgivable crime of placing his net in front of others during the hunt. The only significant relationship of the flux to forest life is that it enables the band to respond to changes in environmental conditions by altering its size. It must also be admitted that it is [Page [p.108-a]]
1. The village of Epulu, shady but constantly threatened by the encroachments of the forest.
[Page [p.108-b]]
2. The village headman's baraza , used for receiving visitors and holding public discussions.
[Page [p.108-c]]
3. An abandoned village, overgrown in a few months.
[Page [p.108-d]]
4. Mbuti girl helps village woman pound manioc in-shade of plantain tree.
[Page [p.108-e]]
5. Mbuti women and girls rest as they bring roofing leaves into village for village houses.
[Page [p.108-f]
6. Mbuti men help villager build a new house, having cut and fetched the saplings for him.
7. Mbuti youths, in clothes provided by their kpara , are fed as part of their “payment.”
[Page [p.108-g]
8. This village camp of the Mbuti at Epulu was built in imitation of the main village. It soon became fouled and was abandoned, succeeding village camps being built in the forest at the edge of the plantations.
[Page [p.108-h]]
9. The Mbuti village baraza was never completed, and remained marked only by four posts.
10. While in the village camp, an Mbuti mother borrows or steals many luxuries too bulky or heavy to carry with her into the forest. Of the mortar and pestle, stool, metal cooking vessels, enamel bowls and bottle of palm oil, she will probably return to the forest with only one vessel.
[Page [p.108-i]]
11. An Mbuti hunter amuses himself in the village by playing a village-made zither.
[Page [p.108-j]]
12. Mbuti women may take part in a hoop dance while in the village, but traditional forest songs and dances are forbidden outside the forest. Note the body decoration on the leg of the woman to the rear; the dye is obtained from the gardenia fruit.
13. A village wedding is arranged for the Mbuti hunter Makubasi. Here his bride, flanked by two sisters, stands in the middle of the village onbanana-leaf cushions, fanned by her kpara's sister . By arranging such marriages, the villagers hope to maintain some control over the Mbuti they believe they “inherit.”
[Page [p.108-k]]
14. The nkumbi initiation is another means by which villagers attempt to control the Mbuti. The initial dance here, with the sacred makata sticks, is led by the traditional doctor, Sabani, at the village of Eboyo. Mbuti and villagers take part jointly in the festivities, but the Mbuti are excluded from all ritual roles.
[Page [p.108-l]]
15. Village women of Epulu dance to celebrate an approaching nkumbi during which only Mbuti boys will be initiated, owing to lack of village boys of the right age.
16. A boy, just circumcised, is comforted by an Mbuti hunter. This would be considered a lasting shame by either a village boy or an adult, but the Mbuti see no shame in acknowledging and healing pain.
[Page 109] important, for both net-hunters and archers, that a hunter should know well the habits of those who are near him on the hunt. Insofar as children learn to hunt mostly but by no means entirely from their fathers, it is obvious that brothers are likely to be most familiar with each other's hunting techniques, and will thus make the best hunting partners. But against this work many other practices, such as communal hunting games for all children, regardless of relationship, and the frequency of adoption, and of assimilation of adult strangers into the band.","Flora (137)
Descriptive somatology (142)
Drives and emotions (152)
Historical reconstruction (174)
Acculturation and culture contact (177)
Functional and adaptational interpretations (182)
Cultural participation (184)
Hunting and trapping (224)
Food preparation (252)
Normal garb (291)
Special garments (292)
Personal grooming (302)
Body alterations (304)
Dwellings (342)
Public structures (344)
Furniture (352)
Settlement patterns (361)
Paint and dye manufacture (386)
General tools (412)
Utensils (415)
Labor supply and employment (464)
Wages and salaries (465)
Burden carrying (482)
Postures (516)
Music (533)
Musical instruments (534)
Dance (535)
Ethnic stratification (563)
Social relationships and groups (571)
Nuptials (585)
Adoption (597)
Behavior toward non-relatives (609)
Lineages (613)
Community structure (621)
Community heads (622)
Infant feeding (853)
Infant care (854)
Childhood activities (857)
Transmission of skills (868)
Puberty and initiation (881)",no
fo04-002,233,124,"Infants are allowed to crawl all over the camp, and will be picked up and fondled by anyone, and even fed, if old enough. If they get in the way, or crawl into a fire, they are picked up roughly by an arm or a leg, slapped hard and brought back to their mother's hut. Even at this age their education begins, a concentrated effort being made to teach them erotic dancing before they can properly walk.","Infant care (854)
Transmission of skills (868)",no
fo04-002,234,125,"Another important imitative game is the hunt, in which a youth or an elder pretends to be an antelope, sometimes with another pretending to be a leopard. An old piece of a real hunting net is used, and once again every action is gone through in almost exact imitation of a real hunt. The antelope and the leopard move erratically and unexpectedly to test the reactions of the children, and any child who fails to react properly is laughed out of the game. The game continues up to the ensnarement of the antelope in the net, then abruptly ends and starts again. Different localities in or around the camp are chosen for these mock hunts, to show the necessity for varying the hunting technique. If any Mbuti are keeping chickens for the villagers (this is often done when a camp is near a village, as the villagers have reasons for wishing to conceal their wealth), the chickens often become the quarry.","Hunting and trapping (224)
Domesticated animals (231)
Childhood activities (857)
Transmission of skills (868)",no
fo04-002,235,125,"Girls imitate their mothers by carrying a stick of rough wood as a baby, perhaps in a tiny hide sling. Any girls large enough to carry a real baby do so. They make miniature carrying baskets and go off with other girls on gathering expeditions, always returning with some real food either found in the forest or begged or stolen from the camp. With their hunting and fishing activities as well as this gathering, the children make a small contribution to the food economy even at this age. They also learn not only to rely on their fellow age mates for help in food-getting activities, but to share with them. The sharing is largely left to the girl's decision.","Childhood activities (857)
Transmission of skills (868)",no
fo04-002,236,125,"The boys also learn to live and work with their fellows of different families rather than with their nuclear family, and will often be far more intimate with an unrelated boy of the same age than with a brother much older or younger. They play many games that develop quickness of eye and co-ordination of the body, such as the spear practice, where one boy stands in the middle with a large forest fruit at the end of a six foot vine which he swings around him, trailing the fruit about twelve inches above the ground. The other boys stand in a circle around him, their fire-hardened spears poised. As the fruit passes them they throw their spears at it. If they miss they have to dash in to retrieve their spears while the fruit continues to swing around, and other spears continue to be thrown. If a spear hits its mark and holds firm, the boy in the center tries to dislodge it by bouncing the fruit on the ground as he swings it around. This is an additional hazard for the others, as the spear may come flying out t [Page 126] them. Youths join the older children at this game, but never in a supervisory capacity.","Age stratification (561)
Social relationships and groups (571)
Childhood activities (857)
Transmission of skills (868)
Adolescent activities (883)",no
fo04-002,237,126,"Youths may also join the children on their swings in the bopi , and will almost certainly build their swings for them, climbing high up into adjacent trees to drape a long liana between them. They then teach the younger children the wild somersaulting games on these swings that are particularly characteristic of the honey season. On the other side the youths equally often join the hunters but, again, always as a separate group, sometimes participating fully, but still as youths. And as youths they continue the process already begun in childhood, of growing more away from their nuclear families and together as an age group. Their hunting and scavenging abilities are greater, and they sometimes even maintain a self-sufficient food economy. As youths they are allowed to stay up at night, instead of retiring with their mothers, and they build their own fire near the hunters' fire and cook their own food and sing and dance, sometimes with the hunters and elders, sometimes separately.","Age stratification (561)
Transmission of skills (868)
Status of adolescents (882)
Adolescent activities (883)",no
fo04-002,238,134,"To begin with, the bamelima spend most of their time either inside the hut or else off with an instructress, in the forest. Inside the hut they are taught the songs of the elima by any older women who care to take part in the instruction. In the forest, I was told by a number of women, young and old, the girls are instructed in the arts of motherhood. This presumably includes such aspects of sexual life as are still unknown to them, which are probably few, but also use of the various herbs and treatments that a woman must know to insure fertility, an abundance of milk, easy childbirth, and abortion if necessary.","Sex training (864)
Transmission of cultural norms (867)
Puberty and initiation (881)",no
